PartitionKey,RowKey,Location,TypeOfTree,PlantingDate,Better Location,Real Location,Link,Latitude,Longitude,IsLiving
2e101809-0143-466d-982d-360e70c51336,"Albuquerque, New Mexico",Civic Plaza,Douglas Fir,,"Civic Plaza Albuquerque, New Mexico","1 Civic Plaza NW, Albuquerque, NM 87102",,,,FALSE
2e101809-0143-466d-982d-360e70c51336,"Arcata, California",Humboldt State University,3 Redwoods,,"Humboldt State University Arcata, California","1 Harpst St, Arcata, CA 95521",http://web.archive.org/web/20040214030143/http://www.thejack.org/fall99/09-15-99/campus/campus_moontrees.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Asheville, North Carolina",Botanical Gardens at Asheville,Sycamore,19-Mar-76,"Botanical Gardens at Asheville Asheville, North Carolina","151 W .T. Weaver Blvd, Asheville, NC 28804",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/asheville_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Atchison, Kansas",International Forest of Friendship,Sycamore,24-Jul-86,"International Forest of Friendship Atchison, Kansas","Allingham Drive, Atchison, KS 66002",http://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/forest_friendship_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Auburn University, Alabama",G.W. Andrews Forestry Sciences Lab,"Loblolly Pine, Sycamore",22-Oct-76,"G.W. Andrews Forestry Sciences Lab Auburn University, Alabama","521 Devall Dr, Auburn, AL 36832",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/auburn_tree.html,,,FALSE
2e101809-0143-466d-982d-360e70c51336,"Berkeley, California",Tilden Nature Area,2 Redwoods,26-Jul-76,"Tilden Nature Area Berkeley, California","600 Canon Dr, Berkeley, CA 94708",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/tilden_nature_area_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Bethesda, Maryland",Society of American Foresters,Loblolly Pine,30-Sep-75,"Society of American Foresters Bethesda, Maryland","10100 Laureate Way, Bethesda, MD 20814",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/bethesda_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Birmingham, Alabama",Birmingham Botanical Gardens,Sycamore,25-Feb-76,"Birmingham Botanical Gardens Birmingham, Alabama","2612 Lane Park Rd, Birmingham, AL 35223",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/birmingham_tree.html,33.49065,-86.776317,TRUE
2e101809-0143-466d-982d-360e70c51336,"Boise, Idaho",Lowell Elementary School,Loblolly Pine,1977,"Lowell Elementary School Boise, Idaho","1507 N 28th St, Boise, ID 83703",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/lowell_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Brasilia, Brazil",IBAMA Institute,Sweetgum,14-Jan-80,"IBAMA Institute Brasilia, Brazil",,https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/brazil_brasilia_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Cannelton, Indiana",Camp Koch Girl Scout Camp,Sycamore,1976,"Camp Koch Girl Scout Camp Cannelton, Indiana",,https://web.archive.org/web/20100803012152/http://www.siec.k12.in.us/cannelton/moontree/moontree.htm,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Cape Canaveral, Florida",Kennedy Space Center,Sycamore,25-Jun-76,"Kennedy Space Center Cape Canaveral, Florida","Kennedy Space Center, SR 405, Titusville, FL 32899",http://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/kennedy_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"College Station, Texas",Brazos County Arboretum,Sycamore,21-Mar-76,"Brazos County Arboretum College Station, Texas","1900 Anderson St Bee Creek Park College Station, TX 77840",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/college_station_tree.html,,,FALSE
2e101809-0143-466d-982d-360e70c51336,"DeSoto, Missouri",Walther Park,Sycamore,,"Walther Park DeSoto, Missouri","17 Boyd St, De Soto, MO 63020",,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Dillsburg, Pennsylvania",Dillsburg Elementary School,Sycamore,30-Apr-76,"Dillsburg Elementary School Dillsburg, Pennsylvania","202 S Chestnut St, Dillsburg, PA 17019",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/dillsburg_tree.html,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Draper, Utah",Lone Peak Nursery (Reported Closed),Sycamore,,"Lone Peak Nursery (Reported Closed) Draper, Utah",,,,,TRUE
2e101809-0143-466d-982d-360e70c51336,"Ebensburg, Pennsylvania",Cambria County Courthouse,Sycamore,29-Jun-76,"Cambria County Courthouse Ebensburg, Pennsylvania","200 S Center St, Ebensburg, PA 15931",https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/cambria_tree.html,,,TRUE
